"Accepted_name_species","Native_status","Island","Presence_Absence"
"Coprosma_kauensis","native","H",0
"Coprosma_longifolia","native","H",0
"Coprosma_menziesii","native","H",1
"Coprosma_montana","native","H",1
"Coprosma_ochracea","native","H",1
"Coprosma_pubens","native","H",1
"Coprosma_rhynchocarpa","native","H",1
"Coprosma_ternata","native","H",0
"Coprosma_waimeae","native","H",0
"Cordia_alliodora","exotic","H",0
"Cordia_dichotoma","exotic","H",0
"Cordia_lutea","exotic","H",1
"Cordia_subcordata","native","H",1
"Cordyline_fruticosa","exotic","H",1
"Cornus_kousa","exotic","H",1
"Corymbia_calophylla","exotic","H",1
"Corymbia_citriodora","exotic","H",1
"Corymbia_ficifolia","exotic","H",1
"Corymbia_gummifera","exotic","H",0
"Corynocarpus_laevigatus","exotic","H",1
"Costus_dubius","exotic","H",0
"Costus_pulverulentus","exotic","H",0
"Costus_scaber","exotic","H",0
"Costus_woodsonii","exotic","H",0
"Cotoneaster_pannosus","exotic","H",1
"Crassula_ovata","exotic","H",0
"Crotalaria_berteroana","exotic","H",0
"Crotalaria_longirostrata","exotic","H",1
"Crotalaria_micans","exotic","H",1
"Croton_guatemalensis","exotic","H",0
"Cryptocarya_mannii","native","H",0
"Cryptostegia_grandiflora","exotic","H",0
"Cryptostegia_madagascariensis","exotic","H",1
"Cupaniopsis_anacardioides","exotic","H",0
"Cuphea_hyssopifolia","exotic","H",1
"Cuphea_ignea","exotic","H",1
"Cyanea_aculeatiflora","native","H",0
"Cyanea_angustifolia","native","H",0
"Cyanea_arborea","native","H",0
"Cyanea_asarifolia","native","H",0
"Cyanea_asplenifolia","native","H",0
"Cyanea_calycina","native","H",0
"Cyanea_comata","native","H",0
"Cyanea_copelandii","native","H",1
"Cyanea_coriacea","native","H",0
"Cyanea_cylindrocalyx","native","H",1
"Cyanea_dolichopoda","native","H",0
"Cyanea_dunbariae","native","H",0
"Cyanea_duvalliorum","native","H",0
"Cyanea_eleeleensis","native","H",0
"Cyanea_elliptica","native","H",0
"Cyanea_fissa","native","H",0
"Cyanea_floribunda","native","H",1
"Cyanea_giffardii","native","H",1
"Cyanea_glabra","native","H",0
"Cyanea_grimesiana","native","H",0
"Cyanea_habenata","native","H",0
"Cyanea_hamatiflora","native","H",1
"Cyanea_hardyi","native","H",0
"Cyanea_hirtella","native","H",0
"Cyanea_horrida","native","H",0
"Cyanea_humboldtiana","native","H",0
"Cyanea_kahiliensis","native","H",0
"Cyanea_kolekoleensis","native","H",0
"Cyanea_koolauensis","native","H",0
"Cyanea_kuhihewa","native","H",0
"Cyanea_lanceolata","native","H",0
"Cyanea_leptostegia","native","H",0
"Cyanea_linearifolia","native","H",0
"Cyanea_lobata","native","H",0
"Cyanea_longiflora","native","H",0
"Cyanea_longissima","native","H",0
"Cyanea_macrostegia","native","H",0
"Cyanea_magnicalyx","native","H",0
"Cyanea_mannii","native","H",0
"Cyanea_maritae","native","H",0
"Cyanea_marksii","native","H",1
"Cyanea_mauiensis","native","H",0
"Cyanea_mceldowneyi","native","H",0
"Cyanea_membranacea","native","H",0
"Cyanea_minutiflora","native","H",0
"Cyanea_munroi","native","H",0
"Cyanea_obtusa","native","H",0
"Cyanea_parvifolia","native","H",0
"Cyanea_pilosa","native","H",1
"Cyanea_pinnatifida","native","H",0
"Cyanea_platyphylla","native","H",1
"Cyanea_pohaku","native","H",0
"Cyanea_procera","native","H",0
"Cyanea_profuga","native","H",0
"Cyanea_pseudofauriei","native","H",0
"Cyanea_purpurellifolia","native","H",0
"Cyanea_pycnocarpa","native","H",1
"Cyanea_quercifolia","native","H",0
"Cyanea_recta","native","H",0
"Cyanea_remyi","native","H",0
"Cyanea_rivularis","native","H",0
"Cyanea_salicina","native","H",0
"Cyanea_scabra","native","H",0
"Cyanea_sessilifolia","native","H",0
"Cyanea_shipmanii","native","H",1
"Cyanea_solanacea","native","H",0
"Cyanea_solenocalyx","native","H",0
"Cyanea_spathulata","native","H",0
"Cyanea_stictophylla","native","H",1
"Cyanea_superba","native","H",0
"Cyanea_tritomantha","native","H",1
"Cyanea_truncata","native","H",0
"Cyanea_undulata","native","H",0
"Cyrtandra_biserrata","native","H",0
"Cyrtandra_calpidicarpa","native","H",0
"Cyrtandra_confertiflora","native","H",0
"Cyrtandra_cordifolia","native","H",0
"Cyrtandra_crenata","native","H",0
"Cyrtandra_cyaneoides","native","H",0
"Cyrtandra_dentata","native","H",0
"Cyrtandra_ferripilosa","native","H",0
"Cyrtandra_filipes","native","H",0
"Cyrtandra_garnotiana","native","H",0
"Cyrtandra_giffardii","native","H",1
"Cyrtandra_gracilis","native","H",0
"Cyrtandra_grandiflora","native","H",0
"Cyrtandra_grayana","native","H",0
"Cyrtandra_grayi","native","H",0
"Cyrtandra_halawensis","native","H",0
"Cyrtandra_hashimotoi","native","H",0
"Cyrtandra_hawaiensis","native","H",1
"Cyrtandra_heinrichii","native","H",0
"Cyrtandra_hematos","native","H",0
"Cyrtandra_kalihii","native","H",0
"Cyrtandra_kamoolaensis","native","H",0
"Cyrtandra_kauaiensis","native","H",0
"Cyrtandra_kaulantha","native","H",0
"Cyrtandra_kealiae","native","H",0
"Cyrtandra_kohalae","native","H",1
"Cyrtandra_laxiflora","native","H",0
"Cyrtandra_lessoniana","native","H",0
"Cyrtandra_longifolia","native","H",0
"Cyrtandra_lydgatei","native","H",0
"Cyrtandra_lysiosepala","native","H",1
"Cyrtandra_macraei","native","H",0
"Cyrtandra_macrocalyx","native","H",0
"Cyrtandra_menziesii","native","H",1
"Cyrtandra_munroi","native","H",0
"Cyrtandra_nanawaleensis","native","H",1
"Cyrtandra_oenobarba","native","H",0
"Cyrtandra_olona","native","H",0
"Cyrtandra_oxybapha","native","H",0
"Cyrtandra_paliku","native","H",0
"Cyrtandra_paludosa","native","H",1
"Cyrtandra_pickeringii","native","H",0
"Cyrtandra_platyphylla","native","H",1
"Cyrtandra_polyantha","native","H",0
"Cyrtandra_procera","native","H",0
"Cyrtandra_propinqua","native","H",0
"Cyrtandra_pruinosa","native","H",0
"Cyrtandra_rivularis","native","H",0
"Cyrtandra_sandwicensis","native","H",0
"Cyrtandra_sessilis","native","H",0
"Cyrtandra_spathulata","native","H",0
"Cyrtandra_subumbellata","native","H",0
"Cyrtandra_tintinnabula","native","H",1
"Cyrtandra_viridiflora","native","H",0
"Cyrtandra_wagneri","native","H",1
"Cyrtandra_waianaeensis","native","H",0
"Cyrtandra_waiolani","native","H",0
"Cyrtandra_wawrae","native","H",0
"Cytisus_proliferus","exotic","H",1
"Cytisus_scoparius","exotic","H",1
"Delissea_argutidentata","native","H",1
"Delissea_fallax","native","H",1
"Delissea_fauriei","native","H",0
"Delissea_kauaiensis","native","H",0
"Delissea_laciniata","native","H",0
"Delissea_lanaiensis","native","H",0
"Delissea_lauliiana","native","H",0
"Delissea_niihauensis","native","H",0
"Delissea_parviflora","native","H",1
"Delissea_rhytidosperma","native","H",0
"Delissea_sinuata","native","H",0
"Delissea_subcordata","native","H",0
"Delissea_takeuchii","native","H",0
"Delissea_undulata","native","H",0
"Delissea_waianaeensis","native","H",0
"Desmodium_barbatum","exotic","H",0
"Desmodium_cajanifolium","exotic","H",1
"Desmodium_incanum","exotic","H",1
"Desmodium_sandwicense","exotic","H",1
"Dillenia_suffruticosa","exotic","H",0
"Dioclea_wilsonii","exotic","H",1
"Diospyros_hillebrandii","native","H",0
"Diospyros_sandwicensis","native","H",1
"Dodonaea_viscosa","native","H",1
"Dolichandra_unguis-cati","exotic","H",1
"Dovyalis_hebecarpa","exotic","H",1
"Dracaena_aurea","native","H",0
"Dracaena_fernaldii","native","H",0
"Dracaena_forbesii","native","H",0
"Dracaena_halaapepe","native","H",0
"Dracaena_konaensis","native","H",1
"Dracaena_rockii","native","H",0
"Dubautia_arborea","native","H",1
"Dubautia_carrii","native","H",0
"Dubautia_ciliolata","native","H",1
"Dubautia_hanaulaensis","native","H",0
"Dubautia_imbricata","native","H",0
"Dubautia_kalalauensis","native","H",0
"Dubautia_kenwoodii","native","H",0
"Dubautia_knudsenii","native","H",0
"Dubautia_laevigata","native","H",0
"Dubautia_latifolia","native","H",0
"Dubautia_laxa","native","H",0
"Dubautia_linearis","native","H",1
"Dubautia_menziesii","native","H",0
"Dubautia_microcephala","native","H",0
"Dubautia_paleata","native","H",0
"Dubautia_pauciflorula","native","H",0
"Dubautia_plantaginea","native","H",1
"Dubautia_platyphylla","native","H",0
"Dubautia_reticulata","native","H",0
"Dubautia_scabra","native","H",1
"Dubautia_sherffiana","native","H",0
"Dubautia_syndetica","native","H",0
"Dubautia_waialealae","native","H",0
"Dubautia_waianapanapaensis","native","H",0
"Duranta_erecta","exotic","H",0
"Ehretia_microphylla","exotic","H",0
"Elaeagnus_umbellata","exotic","H",1
"Elaeocarpus_angustifolius","exotic","H",1
"Elaeocarpus_bifidus","native","H",0
"Embelia_pacifica","native","H",1
"Encelia_farinosa","exotic","H",0
"Enchylaena_tomentosa","exotic","H",0
"Entada_phaseoloides","native","H",0
"Enterolobium_cyclocarpum","exotic","H",1
"Epipremnum_pinnatum","exotic","H",1
"Erica_lusitanica","exotic","H",0
"Eriobotrya_japonica","exotic","H",1
"Erythrina_poeppigiana","exotic","H",1
"Erythrina_sandwicensis","native","H",0
"Escallonia_rubra","exotic","H",1
"Eucalyptus_albens","exotic","H",1
"Eucalyptus_amygdalina","exotic","H",1
"Eucalyptus_botryoides","exotic","H",1
"Eucalyptus_bridgesiana","exotic","H",1
"Eucalyptus_camaldulensis","exotic","H",1
"Eucalyptus_cinerea","exotic","H",1
"Eucalyptus_cladocalyx","exotic","H",1
"Eucalyptus_cornuta","exotic","H",1
"Eucalyptus_crebra","exotic","H",0
"Eucalyptus_deanei","exotic","H",1
"Eucalyptus_deglupta","exotic","H",1
"Eucalyptus_globulus","exotic","H",1
"Eucalyptus_gomphocephala","exotic","H",0
"Eucalyptus_goniocalyx","exotic","H",1
"Eucalyptus_marginata","exotic","H",1
"Eucalyptus_microcorys","exotic","H",1
"Eucalyptus_paniculata","exotic","H",1
"Eucalyptus_pilularis","exotic","H",1
"Eucalyptus_punctata","exotic","H",0
"Eucalyptus_raveretiana","exotic","H",0
"Eucalyptus_resinifera","exotic","H",1
"Eucalyptus_robusta","exotic","H",1
"Eucalyptus_rudis","exotic","H",1
"Eucalyptus_saligna","exotic","H",1
"Eucalyptus_sideroxylon","exotic","H",0
"Eucalyptus_tereticornis","exotic","H",1
"Eucalyptus_viminalis","exotic","H",1
"Eugenia_brasiliensis","exotic","H",1
"Eugenia_koolauensis","native","H",0
"Eugenia_reinwardtiana","native","H",0
"Eugenia_uniflora","exotic","H",0
"Euphorbia_arnottiana","native","H",0
"Euphorbia_atrococca","native","H",0
"Euphorbia_celastroides","native","H",1
"Euphorbia_clusiifolia","native","H",0
"Euphorbia_degeneri","native","H",1
"Euphorbia_deppeana","native","H",0
"Euphorbia_eleanoriae","native","H",0
"Euphorbia_haeleeleana","native","H",0
"Euphorbia_halemanui","native","H",0
"Euphorbia_herbstii","native","H",0
"Euphorbia_kuwaleana","native","H",0
"Euphorbia_lactea","exotic","H",0
"Euphorbia_leucocephala","exotic","H",0
"Euphorbia_multiformis","native","H",1
"Euphorbia_olowaluana","native","H",1
"Euphorbia_remyi","native","H",0
"Euphorbia_rockii","native","H",0
"Euphorbia_skottsbergii","native","H",0
"Euphorbia_sparsiflora","native","H",0
"Euphorbia_tirucalli","exotic","H",1
"Euphorbia_tithymaloides","exotic","H",0
"Eurya_sandwichensis","native","H",1
"Exocarpos_gaudichaudii","native","H",1
"Exocarpos_luteolus","native","H",0
"Exocarpos_menziesii","native","H",1
"Ficus_macrophylla","exotic","H",1
"Ficus_microcarpa","exotic","H",1
"Ficus_nota","exotic","H",1
"Ficus_platypoda","exotic","H",1
"Ficus_rubiginosa","exotic","H",0
"Filicium_decipiens","exotic","H",1
"Fitchia_speciosa","exotic","H",0
"Flacourtia_indica","exotic","H",0
"Flemingia_macrophylla","exotic","H",1
"Flemingia_strobilifera","exotic","H",1
"Flindersia_brayleyana","exotic","H",1
"Flueggea_neowawraea","native","H",1
"Flueggea_virosa","exotic","H",0
"Frangula_californica","exotic","H",1
"Fraxinus_griffithii","exotic","H",0
"Fraxinus_uhdei","exotic","H",1
"Freycinetia_arborea","native","H",1
"Fuchsia_boliviana","exotic","H",0
"Fuchsia_magellanica","exotic","H",1
"Fuchsia_paniculata","exotic","H",1
"Gardenia_brighamii","native","H",1
"Gardenia_mannii","native","H",0
"Gardenia_remyi","native","H",1
"Geranium_arboreum","native","H",0
"Geranium_cuneatum","native","H",1
"Geranium_hanaense","native","H",0
"Geranium_hillebrandii","native","H",0
"Geranium_kauaiense","native","H",0
"Gliricidia_sepium","exotic","H",0
"Gossypium_barbadense","exotic","H",1
"Gossypium_hirsutum","exotic","H",0
"Gouania_hillebrandii","native","H",0
"Gouania_meyenii","native","H",0
"Gouania_vitifolia","native","H",1
"Grevillea_banksii","exotic","H",1
"Grevillea_robusta","exotic","H",1
"Grewia_micrantha","exotic","H",0
"Guaiacum_officinale","exotic","H",0
"Haematoxylum_campechianum","exotic","H",0
"Harrisia_bonplandii","exotic","H",0
"Harrisia_martinii","exotic","H",0
"Hedera_helix","exotic","H",1
"Heliocarpus_popayanensis","exotic","H",1
"Heliotropium_anomalum","native","H",1
"Heritiera_littoralis","exotic","H",0
"Hesperomannia_arborescens","native","H",0
"Hesperomannia_arbuscula","native","H",0
"Hesperomannia_lydgatei","native","H",0
"Heterocentron_subtriplinervium","exotic","H",1
"Heteromeles_arbutifolia","exotic","H",1
"Hibiscadelphus_bombycinus","native","H",1
"Hibiscadelphus_crucibracteatus","native","H",0
"Hibiscadelphus_distans","native","H",0
"Hibiscadelphus_giffardianus","native","H",1
"Hibiscadelphus_hualalaiensis","native","H",1
"Hibiscadelphus_wilderianus","native","H",0
"Hibiscadelphus_woodii","native","H",0
"Hibiscus_arnottianus","native","H",0
"Hibiscus_brackenridgei","native","H",1
"Hibiscus_clayi","native","H",0
"Hibiscus_kokio","native","H",0
"Hibiscus_macrophyllus","exotic","H",1
"Hibiscus_micranthus","exotic","H",0
"Hibiscus_mutabilis","exotic","H",0
"Hibiscus_waimeae","native","H",0
"Hiptage_benghalensis","exotic","H",0
"Homalanthus_populifolius","exotic","H",1
"Homalanthus_populneus","exotic","H",0
"Hoya_australis","exotic","H",0
"Hydrocotyle_bowlesioides","exotic","H",1
"Hydrocotyle_sibthorpioides","exotic","H",1
"Hydrocotyle_verticillata","exotic","H",1
"Hylocereus_costaricensis","exotic","H",0
"Hylocereus_undatus","exotic","H",1
"Hypericum_canariense","exotic","H",0
"Ilex_anomala","native","H",1
"Ilex_aquifolium","exotic","H",1
"Ilex_cassine","exotic","H",1
"Ilex_paraguariensis","exotic","H",0
"Inga_sertulifera","exotic","H",1
"Ipomoea_carnea","exotic","H",0
"Isodendrion_hosakae","native","H",1
"Isodendrion_laurifolium","native","H",0
"Isodendrion_longifolium","native","H",0
"Isodendrion_pyrifolium","native","H",1
"Jacaranda_mimosifolia","exotic","H",1
"Jasminum_fluminense","exotic","H",1
"Jasminum_multiflorum","exotic","H",1
"Jatropha_curcas","exotic","H",1
"Jatropha_gossypiifolia","exotic","H",0
"Jatropha_multifida","exotic","H",1
"Jatropha_podagrica","exotic","H",1
"Justicia_carnea","exotic","H",1
"Justicia_spicigera","exotic","H",0
"Kadua_acuminata","native","H",1
"Kadua_affinis","native","H",1
"Kadua_axillaris","native","H",1
"Kadua_centranthoides","native","H",1
"Kadua_cookiana","native","H",1
"Kadua_cordata","native","H",0
"Kadua_coriacea","native","H",1
"Kadua_degeneri","native","H",0
"Kadua_elatior","native","H",0
"Kadua_fluviatilis","native","H",0
"Kadua_flynnii","native","H",0
"Kadua_foggiana","native","H",0
"Kadua_foliosa","native","H",0
"Kadua_formosa","native","H",0
"Kadua_fosbergii","native","H",0
"Kadua_haupuensis","native","H",0
"Kadua_knudsenii","native","H",0
"Kadua_laxiflora","native","H",0
"Kadua_parvula","native","H",0
"Kadua_tryblium","native","H",0
"Kanaloa_kahoolawensis","native","H",0
"Keysseria_maviensis","native","H",0
"Khaya_nyasica","exotic","H",0
"Koelreuteria_elegans","exotic","H",0
"Kokia_cookei","native","H",0
"Kokia_drynarioides","native","H",1
"Kokia_kauaiensis","native","H",0
"Kokia_lanceolata","native","H",0
"Korthalsella_cylindrica","native","H",1
"Korthalsella_remyana","native","H",1
"Korthalsella_taenioides","native","H",1
"Labordia_cyrtandrae","native","H",0
"Labordia_degeneri","native","H",0
"Labordia_fagraeoidea","native","H",0
"Labordia_hedyosmifolia","native","H",1
"Labordia_helleri","native","H",0
"Labordia_hirtella","native","H",1
"Labordia_hosakana","native","H",0
"Labordia_kaalae","native","H",0
"Labordia_lorenceana","native","H",0
"Labordia_lydgatei","native","H",0
"Labordia_pumila","native","H",0
"Labordia_tinifolia","native","H",1
"Labordia_triflora","native","H",0
"Labordia_venosa","native","H",0
"Labordia_waialealae","native","H",0
"Labordia_waiolanii","native","H",0
"Lantana_camara","exotic","H",1
"Lepidium_arbuscula","native","H",0
"Lepidium_serra","native","H",0
"Leptecophylla_tameiameiae","native","H",1
"Leptospermum_laevigatum","exotic","H",0
"Leptospermum_morrisonii","exotic","H",0
"Leptospermum_petersonii","exotic","H",1
"Leptospermum_polygalifolium","exotic","H",0
"Leptospermum_scoparium","exotic","H",0
"Leucaena_diversifolia","exotic","H",0
"Leucaena_leucocephala","exotic","H",0
"Licuala_spinosa","exotic","H",0
"Ligustrum_lucidum","exotic","H",1
"Ligustrum_sinense","exotic","H",1
"Liriodendron_tulipifera","exotic","H",1
"Livistona_chinensis","exotic","H",0
"Lobelia_dunbariae","native","H",0
"Lobelia_gaudichaudii","native","H",0
"Lobelia_gloria-montis","native","H",0
"Lobelia_grayana","native","H",0
"Lobelia_hillebrandii","native","H",0
"Lobelia_×kauaiensis","native","H",0
"Lobelia_koolauensis","native","H",0
"Lobelia_monostachya","native","H",0
"Lobelia_niihauensis","native","H",0
"Lobelia_oahuensis","native","H",0
"Lobelia_villosa","native","H",0
"Lobelia_wahiawa","native","H",0
"Lobelia_yuccoides","native","H",0
"Lonicera_japonica","exotic","H",1
"Lophostemon_confertus","exotic","H",0
"Lupinus_arboreus","exotic","H",1
"Lycium_sandwicense","native","H",1
"Lysimachia_daphnoides","native","H",0
"Lysimachia_filifolia","native","H",0
"Lysimachia_forbesii","native","H",0
"Lysimachia_glutinosa","native","H",0
"Lysimachia_iniki","native","H",0
"Lysimachia_kalalauensis","native","H",0
"Lysimachia_lydgatei","native","H",0
"Lysimachia_pendens","native","H",0
"Lysimachia_remyi","native","H",0
"Lysimachia_scopulensis","native","H",0
"Lysimachia_venosa","native","H",0
"Lythrum_maritimum","exotic","H",1
"Macadamia_integrifolia","exotic","H",0
"Macadamia_tetraphylla","exotic","H",0
"Macaranga_mappa","exotic","H",1
"Macaranga_tanarius","exotic","H",1
"Majidea_zanguebarica","exotic","H",1
"Mallotus_philippensis","exotic","H",0
"Malvaviscus_penduliflorus","exotic","H",1
"Mangifera_indica","exotic","H",1
"Manihot_carthaginensis","exotic","H",1
"Manihot_esculenta","exotic","H",0
"Mansoa_hymenaea","exotic","H",0
"Medinilla_cummingii","exotic","H",1
"Medinilla_heterophylla","exotic","H",0
"Medinilla_magnifica","exotic","H",1
"Medinilla_venosa","exotic","H",0
"Megaskepasma_erythrochlamys","exotic","H",1
"Melaleuca_armillaris","exotic","H",0
"Melaleuca_quinquenervia","exotic","H",1
"Melastoma_sanguineum","exotic","H",1
"Melastoma_septemnervium","exotic","H",1
"Melia_azedarach","exotic","H",1
"Melicope_adscendens","native","H",0
"Melicope_anisata","native","H",0
"Melicope_balloui","native","H",0
"Melicope_barbigera","native","H",0
"Melicope_christophersenii","native","H",0
"Melicope_cinerea","native","H",0
"Melicope_clusiifolia","native","H",1
"Melicope_cruciata","native","H",0
"Melicope_degeneri","native","H",0
"Melicope_elleryana","exotic","H",0
"Melicope_feddei","native","H",0
"Melicope_haleakalae","native","H",0
"Melicope_haupuensis","native","H",0
"Melicope_hawaiensis","native","H",1
"Melicope_hiiakae","native","H",0
"Melicope_hosakae","native","H",0
"Melicope_kaalaensis","native","H",0
"Melicope_kavaiensis","native","H",0
"Melicope_knudsenii","native","H",0
